source	translation	match_status	inheritance_status	category	occurrences	patchable_occurrences	variant_count	notes
Cutlass	커틀러스	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dagger	단검	exact	no_patchable_occurrence	table	8	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dandy Hat	멋쟁이 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dark Elf	다크 엘프	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dark Grasp	어둠의 손아귀	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dark Knight Plate	흑기사 판금 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Darkfire Bolt	다크파이어 볼트	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Datura	흰독말풀	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Day of Protection	보호의 날	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Day of the Gods	신들의 날	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Deadly Swarm	치명적인 벌떼	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Death Blossom	죽음의 꽃	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Death Knight	죽음의 기사	exact	no_patchable_occurrence	table	8	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Deck of Fate	운명의 카드 덱	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Defender Helm	방어자의 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Destroy Undead	언데드 파괴	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Detect Life	생명체 감지	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Diamond	다이아몬드	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dire Wolf Pelt	다이어 울프 가죽	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Disheveled Chain Mail	낡은 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dispel Magic	마법 해제	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Divine Cure	신성한 치유	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Divine Intervention	신성한 개입	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Divine Magic	신성 마법	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Divine Protection	신성한 보호	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Divine Restoration	신성한 회복	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Divine Transcendence	신성한 초월	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Doom's Day Cloak	종말의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon	드래곤	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon Breath	용의 숨결	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon Helm	드래곤 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon Leader's Egg	드래곤 우두머리의 알	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon Leather	드래곤 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon Turtle Fang	드래곤 터틀의 송곳니	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragonbane Flower	드래곤베인 꽃	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragoning Plate	드래곤 판금 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragonning Boots	드래곤 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dried Sunfish	말린 개복치	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Drogg's Helm	드로그의 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Druid	드루이드	exact	no_patchable_occurrence	table	8	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Druid Circlet of Power	드루이드의 힘의 머리장식	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Drum of Victory	승리의 북	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Elegant Cloak	우아한 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Elven Chainmail	엘프 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Elven Cloak	엘프 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Emerald	에메랄드	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Enchant Item	아이템 마법 부여	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Enchanted Amulet	마법의 부적	exact	no_patchable_occurrence	table	9	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Enchanted Leather	마법의 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Enslave	노예화	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Erudine Chainmail	에루딘 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Erudine-laced ore	에루딘 함유 광석	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Essence of Accuracy	정확도의 정수	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Essence of Endurance	체력의 정수	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Essence of Intellect	지력의 정수	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Essence of Luck	행운의 정수	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Essence of Might	힘의 정수	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Essence of Personality	인격의 정수	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Essence of Speed	속도의 정수	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fancy Hat	화려한 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Festival Hat	축제 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fine Belt	고급 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fine Chain Mail	고급 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fire Aura	화염 오라	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fire Bolt	화염 화살	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fire Spike	화염 가시	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fireball	화염구	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Flame Blast	화염 폭발	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Flight	비행	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Flower	꽃	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Flute	피리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Flying Fist	비행 주먹	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Full Helm	전면 투구	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Galahad	갈라하드	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Garnet	석류석	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Gauntlets	건틀릿	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Gem of Restoration	복원의 보석	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Genie Lamp	지니의 램프	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Gilded Belt	금박 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Glamour	매혹	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Glomenmail	글로멘메일	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Glorious Cloak	영광의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Gold Dragon	골드 드래곤	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Golden Chain Mail	황금 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Golem parts	골렘 부품	exact	no_patchable_occurrence	table	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Governor's Armor	총독의 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Gray Potion	회색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Great Druid	상급 드루이드	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Green Apple	녹색 사과	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Green Potion	녹색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Guardian Helm	수호자의 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Halberd	미늘창	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hammer	망치	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hammerhands	망치손	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Harden Item	아이템 강화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hardened Leather Boots	강화 가죽 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hardened Leather Vest	강화 가죽 조끼	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hareck's Leather	하렉의 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Harpy Feather	하피 깃털	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Haste	가속	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Heart of Air	공기의 심장	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Heart of Earth	대지의 심장	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Heart of Fire	불의 심장	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Heart of the Wood	숲의 심장	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Heart of Water	물의 심장	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Heartwood of Jadame	제이덤의 심재	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Herald's Boots	전령의 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hermes	헤르메스	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hermes' Sandals	헤르메스의 샌들	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hero's Belt	영웅의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
High Priest	대사제	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Horned Helm	뿔 달린 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Horseshoe	편자	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hour of Power	힘의 시간	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hourglass of Time	시간의 모래시계	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Huntsman's Cloak	사냥꾼의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ice Blast	얼음 폭발	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ice Bolt	얼음 화살	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Idol of the Snake	뱀의 우상	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Imperial Leather	제국 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Implosion	내파	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Incinerate	소각	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Inferno	지옥불	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Invisibility	투명화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Iolite	아이올라이트	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Iron-laced ore	철 함유 광석	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Kergar-laced ore	케르가르 함유 광석	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Knight's Boots	기사의 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lantern	등불	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Large Shield	대형 방패	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Last Stage Cuirass	최종 단계 흉갑	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Learning	학습	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Leather	가죽 갑옷	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Leather Armor	가죽 갑옷	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Leather Belt	가죽 허리띠	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Leather Boots	가죽 장화	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Leather Cloak	가죽 망토	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Leather Jerkin	가죽 상의	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Levitate	레비테이트	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lich Jar	리치 항아리	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lich King	리치 왕	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lifedrain	라이프드레인	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Light Bolt	빛의 화살	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lightning Bolt	번개 화살	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lizardman Helm	리자드맨 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Long Dagger	장단검	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lost Book of Kehl	켈의 잃어버린 책	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lucius	루시우스	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Lucky Hat	행운의 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Magic Potion	마법 물약	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Majestic Chain Mail	장엄한 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mass Distortion	질량 왜곡	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mass Fear	집단 공포	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Master Wizard	마스터 위저드	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Meditation	명상	exact	no_patchable_occurrence	table	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mercenary Belt	용병의 허리띠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Merchantman's Hat	상인의 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mercury	수은	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Meteor Fragment	운석 조각	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Meteor Shower	유성우	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mind Blast	정신 폭발	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mind's Eye	마음의 눈	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Minotaur	미노타우로스	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Minotaur Chainmail	미노타우로스 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Minotaur Plate	미노타우로스 판금 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mistform	미스트폼	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Mogred Helm	모그레드 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Moon Cloak	달의 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Moon Temple Cloak	달의 신전 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Moonstone	월장석	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Naga Hide	나가 가죽	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Necromancer Cloak	강령술사 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Nightshade Brazier	나이트셰이드 화로	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ninja	닌자	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Noble Chain Mail	귀족의 사슬 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Noble Crown	귀족 왕관	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Noble Plate Armor	귀족의 판금 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Nosferatu	노스페라투	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Notes	쪽지	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Obsidian	흑요석	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Officer's Leather	장교의 가죽 갑옷	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ogre Ear	오우거 귀	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ogre Key	오우거 열쇠	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Orange Potion	주황색 물약	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pain Reflection	고통 반사	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Paladin	성기사	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Paladin Boots	성기사 장화	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Paralyze	마비	exact	no_patchable_occurrence	table	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Patriarch	족장	exact	no_patchable_occurrence	table	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Peasant	농민	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Peasant Hat	농민의 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pellinore	펠리노어	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pendragon	펜드래곤	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Perception	지각	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Phantom Cloak	유령 망토	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Phial of Gog Blood	고그의 피 약병	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Philosopher's Stone	현자의 돌	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Phirna Root	피르나 뿌리	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Phoenix Feather	불사조 깃털	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Phylt-laced ore	필트 함유 광석	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Phynaxian Crown	피낙시아 왕관	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Phynaxian Helm	피낙시아 투구	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pirate Hat	해적 모자	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Plate	판금 갑옷	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Plate Armor	판금 갑옷	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Poison Spray	독 분사	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Poppy Pod	양귀비 꼬투리	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Poppysnaps	양귀비꽃	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Power Stone	힘의 돌	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Preservation	생명 보존	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Priest	사제	exact	no_patchable_occurrence	table	6	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Priest of the Dark	어둠의 사제	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Priest of the Light	빛의 사제	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Prismatic Light	프리즘 광선	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Protection	보호	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Protection from Magic	마법 보호	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Psychic Shock	정신 충격	exact	no_patchable_occurrence	table	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Pure Accuracy	순수한 정확도	exact	no_patchable_occurrence	table	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
